TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY
Co-op for sale,300000,3,1,600,Kings County
Co-op for sale,825000,1,2,1100,New York County
Condo for sale,4750000,4,4,4100,New York County
Condo for sale,3995000,3,3,1637,New York County
Co-op for sale,959000,3,4,1993,Queens County
Condo for sale,744000,2,1,890,Queens County
Condo for sale,4595000,4,4,3052,New York County
Co-op for sale,189000,2,1,800,Bronx County
Co-op for sale,395250,1,1,650,Queens County
Condo for sale,1450000,3,3,1855,Queens County
Condo for sale,6500000,2,2,1639,New York County
Co-op for sale,297000,1,1,800,Queens County
Co-op for sale,244900,1,1,518,Queens County
Co-op for sale,750000,2,2,1193,Bronx County
Condo for sale,2249000,2,3,2321,New York County
Co-op for sale,270000,2,1,700,Queens County
Condo for sale,628000,3,2,900,Queens County
Condo for sale,285000,2,1,835,Bronx County
Condo for sale,595000,3,1,915,Kings County
Condo for sale,899000,2,2,1697,Richmond County
Co-op for sale,359000,2,1,950,Queens County
Condo for sale,525000,3,2,1185,Bronx County
Co-op for sale,250000,1,1,800,Kings County
Co-op for sale,350000,3,2,1100,Kings County
Condo for sale,2200000,2,2,1308,New York County
Condo for sale,1949000,2,2,1288,New York County
Co-op for sale,329000,1,1,764,Kings County
Condo for sale,1999999,3,3,1800,Kings County
Co-op for sale,379000,2,1,900,Queens County
Co-op for sale,1030000,2,2,1077,New York County
Condo for sale,1750000,1,1,937,New York County
Co-op for sale,389000,1,1,900,Queens County
Co-op for sale,269000,1,1,625,Kings County
Co-op for sale,239000,1,1,700,Kings County
Condo for sale,1000000,1,1,773,New York County
Condo for sale,555000,1,1,649,Queens County
Co-op for sale,749900,3,1,830,New York County
Condo for sale,948888,2,2,950,Kings County
Condo for sale,2595000,3,3,1449,New York County
Condo for sale,750000,1,1,654,Kings County
Condo for sale,5925000,3,4,2539,Kings County
Condo for sale,5925000,3,4,2539,Kings County
Co-op for sale,199000,3,1,650,Kings County
Co-op for sale,2425000,2,2,1300,New York County
Condo for sale,599000,2,2,705,Queens County
Condo for sale,729000,2,2,950,Queens County
Co-op for sale,397000,2,1,1000,Queens County
Condo for sale,3995000,4,3,2578,New York County
Condo for sale,1999999,4,3,2729,New York County
Condo for sale,699000,2,2,1030,Queens County
Co-op for sale,265000,3,1,650,Kings County
Condo for sale,1086300,2,1,780,New York County
Co-op for sale,169900,2,1,900,Bronx County
Co-op for sale,385000,2,1,920,Queens County
Co-op for sale,250000,1,1,750,Kings County
Condo for sale,485000,1,1,575,Queens County
Co-op for sale,230000,2,1,800,Bronx County
Condo for sale,465000,2,2,708,Queens County
Co-op for sale,278000,1,1,750,Queens County
Co-op for sale,4500000,2,2,1800,New York County
Co-op for sale,449000,2,2,1200,Queens County
Condo for sale,1899000,3,2,1900,Kings County
Condo for sale,548000,1,1,950,Queens County
Co-op for sale,449000,2,1,764,Queens County
Co-op for sale,300000,2,1,800,Kings County
Condo for sale,5000000,2,2,1780,New York County
Condo for sale,425000,1,1,603,Kings County
Co-op for sale,268000,1,1,660,Queens County
Condo for sale,660000,2,2,970,Queens County
Condo for sale,1175000,2,2,1072,New York County
Co-op for sale,349000,1,1,652,Kings County
Condo for sale,425000,1,1,603,Kings County
Co-op for sale,519000,2,2,1079,Queens County
Co-op for sale,199000,1,1,600,Queens County
Co-op for sale,550000,2,2,1012,New York County
Condo for sale,1465000,2,1,1107,Kings County
Condo for sale,269000,3,1,485,Kings County
Co-op for sale,1150000,2,1,900,Kings County
Condo for sale,799000,5,2,1500,Kings County
Condo for sale,2110000,2,2,1326,New York County
Co-op for sale,385000,1,1,779,Kings County
Condo for sale,539000,2,1,708,Kings County
Co-op for sale,5900000,3,4,3000,New York County
Condo for sale,2700000,3,3,1689,New York County
Condo for sale,898000,1,2,1340,Kings County
Co-op for sale,2100000,3,3,1968,New York County
Condo for sale,2300000,2,2,1163,New York County
Condo for sale,594900,2,1,729,Kings County
Condo for sale,639000,2,2,800,Queens County
Condo for sale,349000,3,1,500,Queens County
Condo for sale,560000,2,2,1008,Richmond County
Condo for sale,699900,3,1,558,New York County
Condo for sale,1650000,3,2,1493,New York County
Condo for sale,1249000,2,2,2158,Kings County
Condo for sale,699900,3,1,558,New York County
Co-op for sale,600000,3,2,1000,New York County
Condo for sale,2255000,2,2,1450,New York County
Co-op for sale,259900,2,1,850,Bronx County
Co-op for sale,399000,1,1,750,Kings County
Condo for sale,4750000,3,2,2060,New York County
Condo for sale,550000,1,1,721,Queens County
Condo for sale,888000,2,2,1146,Kings County
Co-op for sale,185000,3,1,500,Bronx County
Co-op for sale,575000,1,1,850,New York County
Condo for sale,10800000,5,6,4544,Kings County
Co-op for sale,239000,1,1,750,Bronx County
Condo for sale,599999,2,1,932,Kings County
Condo for sale,699000,3,2,1290,Queens County
Condo for sale,590000,3,1,579,New York County
Condo for sale,838000,3,2,706,New York County
Condo for sale,1345000,1,2,752,New York County
Co-op for sale,339000,1,1,910,Queens County
Condo for sale,995000,3,2,1175,New York County
Condo for sale,330000,3,2,1067,Bronx County
Co-op for sale,288000,1,1,800,Kings County
Co-op for sale,2399000,2,2,2391,New York County
Co-op for sale,380000,2,1,850,Kings County
Condo for sale,665000,2,1,1120,Queens County
Condo for sale,899000,1,2,1151,Kings County
Condo for sale,1385000,1,2,875,New York County
Condo for sale,1385000,1,2,875,New York County
Condo for sale,625000,3,1,458,Kings County
Co-op for sale,419000,2,1,1000,Kings County
Co-op for sale,448000,1,1,750,Kings County
Condo for sale,299000,1,1,671,Bronx County
Condo for sale,15250000,4,5,4264,New York County
Co-op for sale,420000,3,2,1200,Queens County
Condo for sale,975000,2,1,1164,New York County
Co-op for sale,450500,2,1,1200,Queens County
Condo for sale,469000,2,1,780,Queens County
Condo for sale,285000,1,1,613,Richmond County
Condo for sale,489000,2,2,1100,Kings County
Co-op for sale,180000,3,1,500,Queens County
Condo for sale,9995000,4,4,2918,New York County
Co-op for sale,5400000,4,2,3800,New York County
Co-op for sale,3395000,2,2,1525,New York County
Condo for sale,1050000,4,2,2800,Kings County
Condo for sale,698000,1,1,721,New York County
Condo for sale,558000,2,1,747,Queens County
Condo for sale,1900000,2,2,1035,New York County
Condo for sale,2150000,3,3,1315,New York County
Co-op for sale,329000,1,1,850,Kings County
Co-op for sale,275000,1,1,650,New York County
Co-op for sale,438000,1,1,900,Queens County
Co-op for sale,2150000,3,2,2300,New York County
Co-op for sale,499000,3,2,1266,Queens County
Co-op for sale,460000,1,1,950,Kings County
Condo for sale,845000,1,1,692,New York County
Co-op for sale,565000,4,1,1024,New York County
Co-op for sale,248000,1,1,800,Queens County
Condo for sale,4995000,3,4,3750,New York County
Condo for sale,3200000,3,3,1820,Kings County
Condo for sale,1599000,2,2,1400,New York County
Condo for sale,249999,1,1,596,Richmond County
Co-op for sale,219000,1,1,780,Queens County
Co-op for sale,449000,1,2,1130,Queens County
Condo for sale,879000,2,2,1278,New York County
Co-op for sale,650000,1,1,800,New York County
Condo for sale,750000,2,2,732,Kings County
Condo for sale,780000,2,2,847,Queens County
Co-op for sale,224995,3,1,550,Queens County
Co-op for sale,239000,1,1,670,Kings County
Co-op for sale,529000,2,2,1200,Kings County
Condo for sale,995000,4,2,1782,Kings County
Condo for sale,875000,3,1,294,New York County
Condo for sale,820000,1,2,788,Kings County
Condo for sale,1475000,2,3,1397,New York County
Condo for sale,1225000,2,2,1050,New York County
Condo for sale,2999999,2,2,1770,New York County
Co-op for sale,292950,1,1,675,Queens County
Condo for sale,1540000,3,3,1357,Kings County
Co-op for sale,679000,1,1,700,New York County
Condo for sale,1475000,2,3,1397,New York County
Condo for sale,1225000,2,2,1050,New York County
Condo for sale,2999999,2,2,1770,New York County
Co-op for sale,525000,1,1,715,New York County
Co-op for sale,599000,1,1,600,New York County
Co-op for sale,1100000,2,1,980,New York County
Condo for sale,695000,2,2,889,New York County
Condo for sale,650000,1,1,776,New York County
Co-op for sale,1695000,3,3,1818,New York County
Condo for sale,4495000,3,3,2012,New York County
Co-op for sale,700000,4,1,1500,New York County
Co-op for sale,324888,1,1,713,Queens County
Co-op for sale,165000,3,1,400,Queens County
Co-op for sale,130000,3,1,422,Queens County
Condo for sale,1049000,3,1,897,Kings County
Condo for sale,9995000,3,4,2950,New York County
Co-op for sale,860000,3,2,1118,New York County
Co-op for sale,235000,1,1,675,Kings County
Condo for sale,680000,2,1,640,Kings County
Condo for sale,2175000,2,2,1666,New York County
Condo for sale,2795000,3,3,1689,New York County
Condo for sale,679000,2,2,879,Kings County
Co-op for sale,169999,1,1,750,Queens County
Co-op for sale,304900,1,1,850,Queens County
Condo for sale,600000,1,1,600,New York County
Co-op for sale,279000,2,1,1000,Kings County
Co-op for sale,1250000,1,1,1300,New York County
Co-op for sale,268000,2,1,950,Queens County
Co-op for sale,140000,3,1,507,Bronx County
Co-op for sale,293000,1,1,649,Queens County
Condo for sale,649000,1,1,665,New York County
Co-op for sale,298888,1,1,700,Queens County
Condo for sale,4145000,2,2,1593,New York County
Co-op for sale,99000,1,1,850,Bronx County
Co-op for sale,99000,1,1,850,Bronx County
Condo for sale,15500000,4,4,4064,New York County
Co-op for sale,3125000,2,2,1804,New York County
Condo for sale,570000,3,1,515,New York County
Co-op for sale,599000,3,1,868,New York County
Co-op for sale,239000,2,1,950,Kings County
Condo for sale,1950000,1,2,1117,New York County
Condo for sale,1950000,1,2,1117,New York County
Co-op for sale,349000,2,1,900,Kings County
Multi-family home for sale,1800000,11,6,5000,Queens County
Condo for sale,1450000,3,2,1117,New York County
Co-op for sale,185000,3,1,400,Queens County
Condo for sale,2000000,2,2,1441,Kings County
Condo for sale,7600000,4,4,3216,New York County
Condo for sale,575000,1,1,1073,New York County
Co-op for sale,350000,2,1,850,New York County
Condo for sale,7600000,4,4,3216,New York County
Condo for sale,695000,3,2,704,Kings County
Co-op for sale,410000,3,1,766,New York County
Co-op for sale,995000,2,1,1000,New York County
Co-op for sale,535000,2,1,1000,Queens County
Co-op for sale,429000,1,1,575,Kings County
Co-op for sale,235000,1,1,800,Kings County
Condo for sale,899000,2,1,1010,Kings County
Condo for sale,900000,2,2,951,New York County
Co-op for sale,280000,1,1,650,Kings County
Condo for sale,5100000,2,2,1676,New York County
Condo for sale,8500000,3,3,2080,New York County
Condo for sale,1075000,3,4,2740,Bronx County
Condo for sale,950000,3,1,660,New York County
Co-op for sale,875000,2,2,1275,Kings County
Condo for sale,598000,1,1,663,Queens County
Co-op for sale,515000,2,2,1200,Kings County
Co-op for sale,3395000,2,2,1800,New York County
Condo for sale,6998000,4,4,3000,New York County
Co-op for sale,324900,1,1,665,New York County
Condo for sale,870000,1,1,620,New York County
Co-op for sale,355000,2,1,1000,Kings County
Co-op for sale,268800,1,1,725,Kings County
Condo for sale,640000,1,1,1022,Kings County
Condo for sale,640000,1,1,1022,Kings County
Co-op for sale,699000,2,2,1400,Queens County
Condo for sale,1025000,1,1,787,New York County
Condo for sale,2449000,3,2,1744,New York County
Condo for sale,700000,3,1,474,New York County
Co-op for sale,700000,2,1,900,New York County
Condo for sale,2350000,4,2,1847,New York County
Condo for sale,5350000,3,4,2491,New York County
Condo for sale,628000,3,2,1097,Kings County
Co-op for sale,800000,2,1,900,New York County
Co-op for sale,416000,3,1,950,Queens County
Co-op for sale,499000,1,1,800,Kings County
Co-op for sale,140000,3,1,507,Bronx County
Condo for sale,2400000,2,2,1375,New York County
Co-op for sale,5995000,3,2,4200,New York County
Co-op for sale,229000,3,1,500,Kings County
Condo for sale,3500000,3,2,1896,Kings County
Co-op for sale,419800,2,1,1000,Queens County
Condo for sale,5900000,3,3,2706,New York County
Condo for sale,1450000,2,2,1175,New York County
Co-op for sale,210000,3,1,550,Queens County
Condo for sale,2990000,3,2,1721,New York County
Condo for sale,888000,3,2,1700,Kings County
Condo for sale,1995000,1,2,910,New York County
Co-op for sale,279900,1,1,850,Bronx County
Co-op for sale,935000,2,2,1150,New York County
Co-op for sale,318000,3,1,450,New York County
Co-op for sale,315000,2,1,1000,Bronx County
Co-op for sale,279900,1,1,850,Bronx County
Co-op for sale,385000,3,1,440,New York County
Condo for sale,209000,1,1,650,Richmond County
Co-op for sale,259000,3,1,590,Queens County
Co-op for sale,499000,3,2,1200,Bronx County
Co-op for sale,359000,2,1,850,New York County
Condo for sale,771770,2,2,710,Queens County
Condo for sale,3550000,3,2,2693,New York County
Co-op for sale,4395000,6,4,2700,New York County
Condo for sale,645000,3,1,419,New York County
Condo for sale,771770,2,2,710,Queens County
Condo for sale,1250000,2,2,1434,New York County
Co-op for sale,1049000,4,3,2400,Bronx County
Co-op for sale,300000,1,1,800,Kings County
Condo for sale,1195000,1,1,713,New York County
Condo for sale,1195000,1,1,713,New York County
Co-op for sale,240000,3,1,500,Queens County
Co-op for sale,1195000,2,2,650,New York County
Co-op for sale,299000,3,1,650,Queens County
Co-op for sale,500000,3,1,450,New York County
Co-op for sale,298000,1,1,790,Kings County
Condo for sale,748000,2,2,713,Queens County
Co-op for sale,3750000,2,2,2300,New York County
Condo for sale,18950000,4,4,5075,New York County
Condo for sale,2300000,2,2,1035,New York County
Condo for sale,825000,2,2,1001,New York County
Condo for sale,6895000,2,2,2114,New York County
Co-op for sale,165000,1,1,750,Bronx County
Co-op for sale,245000,1,1,863,Bronx County
Condo for sale,565000,1,1,804,Kings County
Co-op for sale,1950000,3,2,1265,New York County
Co-op for sale,1200000,1,1,1120,New York County
Condo for sale,565000,1,1,804,Kings County
Co-op for sale,165000,1,1,750,Bronx County
Co-op for sale,399000,1,1,675,New York County
Co-op for sale,4895000,4,2,3594,New York County
Co-op for sale,11175000,4,6,3841,New York County
Co-op for sale,699000,1,1,700,New York County
Condo for sale,320000,2,1,802,Bronx County
Condo for sale,418000,1,1,684,Queens County
Co-op for sale,205900,1,1,750,Queens County
Co-op for sale,265000,1,1,765,Kings County
Co-op for sale,699000,1,1,700,New York County
Condo for sale,445000,3,1,402,Queens County
Co-op for sale,399000,2,1,960,Kings County
Co-op for sale,7500000,6,6,4200,New York County
Co-op for sale,479000,2,1,1100,Kings County
Condo for sale,5950000,2,2,1853,New York County
Condo for sale,599000,1,1,626,New York County
Condo for sale,420000,1,1,668,Kings County
Co-op for sale,2199000,2,2,1770,New York County
Co-op for sale,595000,1,1,700,New York County
Co-op for sale,249000,2,1,1000,Kings County
Co-op for sale,115000,3,1,550,Bronx County
Condo for sale,779000,1,1,638,New York County
Co-op for sale,2199000,2,2,1770,New York County
Condo for sale,7750000,5,6,3701,Kings County
Condo for sale,795000,1,1,860,New York County
Co-op for sale,275000,1,1,880,Kings County
Co-op for sale,330000,1,1,656,Queens County
Co-op for sale,975000,2,2,1270,New York County
Co-op for sale,190000,3,1,500,Queens County
Co-op for sale,405000,3,1,550,New York County
Condo for sale,359000,2,1,920,Kings County
Co-op for sale,1950000,2,2,960,New York County
Condo for sale,2950000,3,2,1709,Kings County
Condo for sale,760000,1,1,700,New York County
Condo for sale,380000,3,1,393,Kings County
Condo for sale,380000,3,1,393,Kings County
Condo for sale,649000,3,2,1150,Kings County
Condo for sale,475000,1,1,739,Kings County
Co-op for sale,3200000,3,4,1825,New York County
Co-op for sale,579000,3,2,1200,Queens County
Condo for sale,648888,2,2,950,Queens County
Co-op for sale,154900,1,1,700,Bronx County
Condo for sale,399000,1,1,577,Kings County
Condo for sale,589000,3,1,415,New York County
Condo for sale,3795000,3,3,2250,New York County
Co-op for sale,199999,3,1,471,Queens County
Co-op for sale,2500000,3,2,3200,New York County
Co-op for sale,258000,3,1,500,Queens County
Condo for sale,3250000,3,2,2292,New York County
Condo for sale,245000,1,1,800,Richmond County
Co-op for sale,729000,3,2,1400,Bronx County
Condo for sale,1090000,3,3,1295,Kings County
Co-op for sale,365000,2,1,925,Kings County
Condo for sale,1990000,2,2,1309,New York County
Co-op for sale,473000,2,1,1000,Kings County
Condo for sale,25000000,5,6,4089,New York County
Co-op for sale,133000,1,1,630,Bronx County
Condo for sale,25000000,5,6,4089,New York County
Condo for sale,4995000,3,2,2803,New York County
Co-op for sale,225000,1,1,900,Bronx County
Co-op for sale,345000,1,1,900,Queens County
Co-op for sale,649000,1,1,687,New York County
Condo for sale,659000,2,1,714,Kings County
Co-op for sale,429000,2,1,850,Kings County
Condo for sale,1795000,2,2,1245,Kings County
Co-op for sale,173000,3,1,500,Queens County
Condo for sale,1649000,1,1,800,New York County
Co-op for sale,800000,2,1,1200,Kings County
Condo for sale,1750000,2,2,1320,Kings County
Condo for sale,2750000,2,2,1488,New York County
Condo for sale,26000000,5,6,4859,New York County
Condo for sale,3999999,2,2,1997,New York County
Condo for sale,2295000,3,3,1615,New York County
Co-op for sale,243000,2,1,965,Bronx County
Condo for sale,688000,3,2,982,Kings County
Co-op for sale,249000,1,1,750,Queens County
Condo for sale,409000,1,1,559,Queens County
Condo for sale,630000,2,2,750,Queens County
Condo for sale,874000,2,2,915,Kings County
Co-op for sale,175000,1,1,627,Queens County
Condo for sale,3000000,1,2,1600,Kings County
Condo for sale,2400000,1,2,1427,New York County
Co-op for sale,299999,1,1,850,Queens County
Co-op for sale,120000,2,1,1100,Bronx County
Condo for sale,1995000,3,2,1376,New York County
Condo for sale,925000,2,2,1033,New York County
Co-op for sale,1199000,2,2,1000,New York County
Condo for sale,2850000,3,2,1912,Kings County
Co-op for sale,245000,1,1,550,Kings County
Condo for sale,695000,2,2,1080,Kings County
Co-op for sale,199000,1,1,550,Kings County
Condo for sale,815000,2,2,1000,Kings County
Condo for sale,474000,2,1,750,Kings County
Condo for sale,2350000,2,2,1572,New York County
Co-op for sale,1325000,2,2,1250,New York County
Co-op for sale,590000,2,1,800,Kings County
Condo for sale,695000,2,2,1080,Kings County
Condo for sale,610000,1,1,673,New York County
Condo for sale,1299000,1,2,1066,New York County
Condo for sale,800000,2,1,850,Kings County
Condo for sale,725000,1,1,696,Kings County
Co-op for sale,349500,1,1,900,Queens County
Condo for sale,550000,3,1,446,New York County
Co-op for sale,398000,3,1,1000,Queens County
Condo for sale,498000,1,1,785,Queens County
Co-op for sale,280000,1,1,850,Kings County
Condo for sale,1250000,1,1,855,New York County
Condo for sale,2649000,3,3,1699,New York County
Condo for sale,385000,2,1,919,Kings County
Co-op for sale,179000,1,1,600,Kings County
Condo for sale,2100000,3,3,1638,New York County
Co-op for sale,323000,1,1,800,Kings County
Co-op for sale,1296000,2,2,1200,New York County
Co-op for sale,3395000,4,3,3111,New York County
Co-op for sale,450000,2,1,1100,Kings County
Condo for sale,649000,3,2,1770,Queens County
Co-op for sale,265000,2,1,900,Kings County
Co-op for sale,398000,3,1,900,Kings County
Condo for sale,680000,2,2,847,Queens County
House for sale,7188000,3,3,4108,New York County
Condo for sale,799000,2,2,868,Queens County
Condo for sale,4250000,2,2,1778,New York County
Co-op for sale,925000,3,2,1700,New York County
Condo for sale,1695000,2,2,1035,Kings County
Condo for sale,599000,1,1,958,Queens County
Co-op for sale,1250000,2,2,1350,New York County
Co-op for sale,2395000,4,4,3600,New York County
Condo for sale,1080000,2,2,1545,Queens County
Co-op for sale,588888,3,2,1150,Queens County
Condo for sale,1199000,2,1,1080,Kings County
Condo for sale,650000,2,2,1013,Bronx County
Co-op for sale,395000,2,1,950,Bronx County
Co-op for sale,299000,1,1,700,Queens County
Condo for sale,549000,2,2,1113,Queens County
Condo for sale,1350000,2,2,1066,Kings County
Condo for sale,499000,1,1,571,Queens County
Condo for sale,1351242,2,2,1026,Queens County
Co-op for sale,249000,2,1,830,Kings County
Condo for sale,479000,1,2,1096,Kings County
Condo for sale,1899000,3,2,1757,Kings County
Co-op for sale,275000,1,1,694,Queens County
Condo for sale,2150000,2,2,1711,New York County
Co-op for sale,1999000,3,3,1950,New York County
Condo for sale,1745000,2,2,1574,Queens County
Condo for sale,1494000,1,2,1444,New York County
Co-op for sale,749000,2,1,1000,New York County
Co-op for sale,2465000,2,2,1400,New York County
Co-op for sale,439000,3,1,475,New York County
Condo for sale,975000,2,2,930,Kings County
Condo for sale,1999999,4,4,2743,New York County
Condo for sale,460000,1,1,518,Kings County
House for sale,3498000,2,2,2046,New York County
Condo for sale,3995000,2,2,1283,New York County
Co-op for sale,1139000,3,2,1800,Queens County
Condo for sale,2695000,2,2,1927,Kings County
Co-op for sale,125000,1,1,728,Bronx County
Condo for sale,625000,1,1,692,New York County
Co-op for sale,545000,1,1,1050,Kings County
Condo for sale,599000,1,1,935,Kings County
Condo for sale,342990,2,1,900,Richmond County
Co-op for sale,1500000,2,2,1600,New York County
Condo for sale,3150000,4,3,2263,New York County
Co-op for sale,200000,1,1,700,Kings County
Co-op for sale,699000,2,2,1400,Kings County
Multi-family home for sale,3000000,24,16,12720,Kings County
Co-op for sale,559000,3,2,1200,Bronx County
Condo for sale,2649000,3,3,1500,New York County
Condo for sale,925000,2,2,787,Queens County
Condo for sale,559000,1,1,579,Kings County
Condo for sale,999999,1,2,807,New York County
Co-op for sale,269000,1,1,700,Kings County
Condo for sale,838000,2,2,1054,Kings County
Co-op for sale,220000,1,1,792,Queens County
Condo for sale,729000,1,1,550,New York County
Condo for sale,2045000,3,2,1039,New York County
Condo for sale,3695000,2,2,1978,New York County
Condo for sale,2045000,3,2,1039,New York County
Co-op for sale,495000,2,1,900,Kings County
Condo for sale,950000,2,2,1033,New York County
Co-op for sale,449000,1,2,1074,Queens County
Co-op for sale,325000,1,1,775,Kings County
Condo for sale,1599000,2,2,1094,New York County
Condo for sale,1850000,1,1,703,New York County
Condo for sale,1395000,1,2,1220,New York County
Condo for sale,759000,2,2,1230,Kings County
Condo for sale,4995000,3,4,2184,New York County
Co-op for sale,249000,2,1,1000,Kings County
Condo for sale,1500000,1,2,1218,Kings County
Condo for sale,695000,2,1,959,New York County
Co-op for sale,325000,1,1,775,Kings County
Condo for sale,15500000,5,6,4134,New York County
Co-op for sale,1995000,2,2,1700,New York County
Condo for sale,759000,2,2,1230,Kings County
Condo for sale,3250000,2,2,1509,New York County
Co-op for sale,750000,1,1,750,New York County
Condo for sale,4395000,5,5,3498,New York County
House for sale,11250000,5,6,4357,New York County
Condo for sale,7500000,4,4,2811,New York County
House for sale,635000,3,1,500,New York County
Condo for sale,580000,2,1,667,Kings County
Condo for sale,8575000,2,2,1830,New York County
Condo for sale,1200000,3,1,500,New York County
Co-op for sale,8250000,2,3,3000,New York County
Condo for sale,375000,1,1,387,Kings County
Condo for sale,2488000,2,2,1483,New York County
Condo for sale,935000,1,1,713,Kings County
Condo for sale,5200000,3,4,3400,New York County
Co-op for sale,329000,2,1,950,Kings County
Co-op for sale,2495000,3,3,2500,New York County
Co-op for sale,595000,2,2,1075,Queens County
Co-op for sale,639000,3,1,1100,Queens County
Condo for sale,720000,2,1,970,Queens County
Condo for sale,4780000,2,2,1882,New York County
Condo for sale,760000,1,1,700,New York County
Condo for sale,2350000,2,2,1628,New York County
Co-op for sale,339999,1,1,825,Queens County
Co-op for sale,220000,1,1,900,Bronx County
Condo for sale,499000,1,1,750,Queens County
Co-op for sale,445000,3,1,550,New York County
Co-op for sale,299000,1,1,700,Queens County
Condo for sale,4075000,3,3,2150,New York County
Condo for sale,580000,2,2,950,Queens County
Condo for sale,995000,2,2,1015,New York County
Condo for sale,1525000,2,2,1329,Queens County
Co-op for sale,1995000,3,3,1800,New York County
Co-op for sale,217000,1,1,700,Queens County
Condo for sale,468000,1,1,500,Queens County
Multi-family home for sale,2100000,3,8,7984,Kings County
Co-op for sale,7450000,3,2,5500,New York County
Co-op for sale,450000,1,1,1115,Queens County
Co-op for sale,235000,1,1,660,Bronx County
House for sale,485000,3,1,525,New York County
Condo for sale,1588000,2,2,1108,New York County
House for sale,2695000,2,2,1750,New York County
Condo for sale,585000,2,2,988,Bronx County
Condo for sale,848880,1,1,713,New York County
Co-op for sale,268000,1,1,750,Queens County
Condo for sale,3700000,3,3,1756,New York County
Condo for sale,2395000,4,3,2155,Kings County
Condo for sale,8525000,4,4,2863,New York County
Co-op for sale,799000,1,1,950,New York County
Condo for sale,240000,1,1,800,Richmond County
Co-op for sale,165000,1,1,750,Bronx County
Co-op for sale,765000,1,2,1000,New York County
Condo for sale,309000,2,1,862,Bronx County
Condo for sale,3795000,3,3,1981,New York County
Condo for sale,8525000,4,4,2863,New York County
Condo for sale,1075000,2,2,1144,Kings County
Condo for sale,1075000,2,2,1144,Kings County
Condo for sale,750000,1,1,592,Kings County
Condo for sale,1850000,2,2,1322,New York County
Condo for sale,5250000,3,3,2950,New York County
Co-op for sale,270000,2,1,700,Queens County
Co-op for sale,3585000,3,3,2237,New York County
Condo for sale,595000,1,1,556,Kings County
Multi-family home for sale,5000000,3,3,1845,New York County
Condo for sale,2995000,2,2,1784,New York County
Co-op for sale,469900,3,2,1200,Bronx County
Co-op for sale,159999,1,1,650,Bronx County
Co-op for sale,469900,3,2,1200,Bronx County
Co-op for sale,3250000,3,3,2610,New York County
Co-op for sale,1575000,2,2,1157,New York County
Co-op for sale,259000,1,1,570,Kings County
Condo for sale,749999,3,3,1602,Kings County
Co-op for sale,639000,3,1,1050,Queens County
Condo for sale,2300000,3,3,1700,New York County
Condo for sale,6750000,2,2,2320,New York County
Co-op for sale,600000,1,1,750,New York County
Co-op for sale,600000,1,1,750,New York County
Co-op for sale,319000,1,1,750,Kings County
Co-op for sale,520000,1,1,730,New York County
Co-op for sale,689000,1,1,1000,New York County
House for sale,899000,4,2,1400,Queens County
Co-op for sale,1825000,3,2,1500,New York County
Co-op for sale,232000,1,1,750,Queens County
Condo for sale,1100000,2,1,988,New York County
Condo for sale,4999000,2,2,1666,New York County
Condo for sale,1695000,3,2,1827,Kings County
Condo for sale,2800000,3,2,1687,New York County
Condo for sale,459000,1,1,548,Kings County
Condo for sale,15900000,4,4,3698,New York County
Condo for sale,4995000,3,4,1960,New York County
Condo for sale,2250000,3,1,1710,New York County
Condo for sale,989000,3,1,930,Kings County
Co-op for sale,309999,1,1,650,Queens County
Condo for sale,4880000,3,3,2130,New York County
Co-op for sale,240000,1,1,750,Queens County
Co-op for sale,225000,1,1,622,Kings County
Condo for sale,1625000,1,2,995,New York County
Condo for sale,385000,2,1,910,Richmond County
Co-op for sale,5600000,5,4,3200,New York County
Co-op for sale,729888,2,2,1600,Queens County
Co-op for sale,535000,3,2,1350,Queens County
Co-op for sale,1250000,2,2,1500,New York County
Condo for sale,550000,1,1,712,Queens County
Co-op for sale,1250000,2,2,1500,New York County
Condo for sale,2800000,3,3,3341,Kings County
Condo for sale,725000,2,2,800,Queens County
Co-op for sale,349999,2,1,873,Kings County
Co-op for sale,280000,2,1,1050,Bronx County
Condo for sale,595000,2,2,739,Queens County
Townhouse for sale,15990000,8,8,6000,New York County
Condo for sale,2350000,2,2,1428,New York County
Condo for sale,705000,1,1,631,Queens County
Condo for sale,1675000,2,2,1294,New York County
Condo for sale,1395000,2,2,1065,Queens County
Co-op for sale,1450000,1,2,1100,New York County
Co-op for sale,329000,1,1,681,Queens County
Condo for sale,2495000,1,2,1218,New York County
Condo for sale,1095000,2,2,1200,New York County
Condo for sale,14950000,4,4,4017,New York County
Condo for sale,1195000,1,1,600,New York County
Condo for sale,815000,3,2,1039,Kings County
Condo for sale,3900000,2,2,1700,New York County
Condo for sale,795000,2,1,759,New York County
Co-op for sale,478000,1,1,750,Kings County
House for sale,2499000,2,2,1471,New York County
Condo for sale,460000,3,1,426,New York County
Condo for sale,534900,1,1,654,Kings County
Co-op for sale,495000,2,2,800,Queens County
Co-op for sale,338000,1,1,800,Queens County
Condo for sale,1650000,2,2,1168,Kings County
Condo for sale,1575000,1,2,1494,Kings County
Condo for sale,459000,3,1,489,Queens County
Co-op for sale,8100000,5,4,4000,New York County
Co-op for sale,399000,1,1,681,Kings County
Co-op for sale,625000,2,1,1025,Queens County
Co-op for sale,375000,1,1,920,Kings County
