Region,Month of Period End,Median Sale Price in Thousands,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List as %,Average Sale To List MoM ,Average Sale To List YoY ,Average Listing Price Thousands
 National,October 2023,414.0,0.4%,3.4%,"404,713",-4.5%,-8.0%,"499,527",-4.9%,1.3%,"1,115,546",1.6%,-8.7%,34,1,-1,99.3,-0.2%,0.4%,416
 National,November 2023,408.0,-1.3%,3.6%,"365,757",-9.6%,-5.3%,"406,842",-18.6%,6.6%,"1,081,405",-3.1%,-5.0%,37,3,-1,99.0,-0.4%,0.5%,412
 National,December 2023,403.0,-1.4%,3.6%,"358,553",-2.0%,-7.2%,"283,995",-30.2%,2.9%,"954,442",-11.7%,-3.6%,43,6,-2,98.6,-0.4%,0.5%,408
 National,January 2024,402.0,-0.1%,5.0%,"289,393",-19.3%,3.5%,"430,708",51.7%,9.2%,"961,170",0.7%,0.9%,49,6,-3,98.4,-0.2%,0.5%,408
 National,February 2024,412.0,2.4%,6.4%,"341,748",18.1%,3.2%,"497,231",15.4%,20.7%,"1,007,057",4.8%,9.9%,48,-1,-4,98.7,0.3%,0.5%,417
 National,March 2024,421.0,2.1%,4.9%,"411,168",20.3%,-8.8%,"558,386",12.3%,1.6%,"1,047,914",4.1%,12.8%,40,-8,-4,99.2,0.5%,0.4%,424
 National,April 2024,433.0,2.9%,6.0%,"452,065",9.9%,8.6%,"626,294",12.2%,18.2%,"1,114,860",6.4%,19.2%,35,-5,-2,99.7,0.4%,0.2%,434
 National,May 2024,439.0,1.4%,4.8%,"501,646",11.0%,0.7%,"662,271",5.7%,10.2%,"1,192,584",7.0%,23.6%,32,-3,0,99.8,0.2%,-0.1%,439
 National,June 2024,443.0,0.9%,4.0%,"461,727",-8.0%,-12.1%,"592,674",-10.5%,-2.6%,"1,194,195",0.1%,18.9%,32,1,3,99.9,0.1%,-0.4%,443
"Boston, MA metro area",January 2012,303.0,-3.8%,-2.3%,"2,117",-31.9%,1.4%,"3,743",89.1%,15.1%,"17,974",2.0%,-1.7%,133,6,1,95.7,-0.2%,0.0%,316
"Boston, MA metro area",February 2012,290.0,-4.3%,0.2%,"2,169",2.5%,31.5%,"4,834",29.1%,33.0%,"19,644",9.3%,2.9%,143,10,-4,95.7,-0.1%,0.0%,303
"Boston, MA metro area",March 2012,305.0,5.2%,1.7%,"2,893",33.4%,15.9%,"7,189",48.7%,-0.1%,"22,707",15.6%,1.1%,145,2,-3,96.2,0.5%,0.4%,317
"Boston, MA metro area",April 2012,324.0,6.1%,2.3%,"3,270",13.0%,18.3%,"6,762",-5.9%,-7.5%,"24,983",10.0%,-2.7%,108,-37,-17,96.6,0.4%,0.4%,335
"Boston, MA metro area",May 2012,340.0,5.1%,3.0%,"4,275",30.7%,28.8%,"6,352",-6.1%,-6.2%,"25,760",3.1%,-6.6%,93,-15,-4,97.2,0.6%,0.8%,349
"Boston, MA metro area",June 2012,375.0,10.3%,3.9%,"5,283",23.6%,16.8%,"5,461",-14.0%,-9.5%,"24,470",-5.0%,-10.2%,92,-1,-1,97.3,0.1%,0.7%,385
"Boston, MA metro area",July 2012,360.0,-4.0%,1.4%,"4,755",-10.0%,26.9%,"4,341",-20.5%,-3.7%,"22,695",-7.3%,-13.0%,95,3,-3,97.2,-0.1%,0.7%,370
"Boston, MA metro area",August 2012,355.0,-1.4%,1.5%,"5,134",8.0%,25.9%,"4,207",-3.1%,-3.4%,"20,418",-10.0%,-16.3%,102,7,-4,97.2,0.0%,0.9%,365
"Boston, MA metro area",September 2012,335.0,-5.6%,2.0%,"3,428",-33.2%,6.6%,"5,177",23.1%,-1.8%,"20,735",1.6%,-14.8%,105,3,-14,97.2,-0.1%,0.9%,344
"Boston, MA metro area",October 2012,325.0,-3.0%,8.3%,"3,471",1.3%,26.0%,"4,169",-19.5%,1.2%,"19,802",-4.5%,-15.5%,105,0,-20,97.2,0.0%,1.4%,334
"Boston, MA metro area",November 2012,337.0,3.7%,4.7%,"3,821",10.1%,32.5%,"2,812",-32.5%,-3.2%,"17,119",-13.5%,-18.0%,99,-6,-22,97.2,0.1%,1.2%,346
"Boston, MA metro area",December 2012,343.0,1.6%,8.7%,"3,596",-5.9%,15.7%,"1,690",-39.9%,-14.6%,"13,893",-18.8%,-21.1%,102,3,-25,97.2,0.0%,1.3%,352
"Boston, MA metro area",January 2013,325.0,-5.1%,7.3%,"2,557",-28.9%,20.8%,"3,683",117.9%,-1.6%,"14,117",1.6%,-21.5%,114,12,-19,97.0,-0.3%,1.2%,335
"Boston, MA metro area",February 2013,317.0,-2.4%,9.3%,"2,098",-18.0%,-3.3%,"4,015",9.0%,-16.9%,"15,368",8.9%,-21.8%,126,12,-17,96.9,0.0%,1.2%,327
"Boston, MA metro area",March 2013,325.0,2.5%,6.6%,"2,844",35.6%,-1.7%,"5,612",39.8%,-21.9%,"17,382",13.1%,-23.5%,112,-14,-33,97.3,0.4%,1.2%,334
"Boston, MA metro area",April 2013,350.0,7.7%,8.2%,"3,439",20.9%,5.2%,"7,847",39.8%,16.0%,"20,920",20.4%,-16.3%,85,-27,-23,98.2,0.9%,1.6%,356
"Boston, MA metro area",May 2013,365.0,4.3%,7.4%,"4,629",34.6%,8.3%,"7,765",-1.0%,22.2%,"23,047",10.2%,-10.5%,78,-7,-15,98.6,0.4%,1.4%,370
"Boston, MA metro area",June 2013,390.0,6.8%,4.0%,"5,619",21.4%,6.4%,"6,140",-20.9%,12.4%,"22,629",-1.8%,-7.5%,78,0,-14,99.0,0.4%,1.7%,393
"Boston, MA metro area",July 2013,386.0,-1.0%,7.2%,"5,872",4.5%,23.5%,"5,078",-17.3%,17.0%,"20,813",-8.0%,-8.3%,80,2,-15,99.0,0.0%,1.8%,389
"Boston, MA metro area",August 2013,385.0,-0.3%,8.5%,"5,684",-3.2%,10.7%,"4,783",-5.8%,13.7%,"18,937",-9.0%,-7.3%,82,2,-20,98.8,-0.2%,1.6%,389
"Boston, MA metro area",September 2013,370.0,-3.9%,10.4%,"4,161",-26.8%,21.4%,"5,860",22.5%,13.2%,"19,429",2.6%,-6.3%,85,3,-20,98.5,-0.3%,1.4%,375
"Boston, MA metro area",October 2013,360.0,-2.7%,10.8%,"3,952",-5.0%,13.9%,"4,887",-16.6%,17.2%,"18,807",-3.2%,-5.0%,80,-5,-25,98.3,-0.2%,1.2%,366
"Boston, MA metro area",November 2013,362.0,0.6%,7.4%,"3,627",-8.2%,-5.1%,"2,965",-39.3%,5.4%,"16,575",-11.9%,-3.2%,81,1,-18,98.1,-0.2%,0.9%,369
"Boston, MA metro area",December 2013,371.0,2.5%,8.3%,"3,819",5.3%,6.2%,"1,849",-37.6%,9.4%,"13,184",-20.5%,-5.1%,86,5,-16,97.9,-0.2%,0.7%,378
"Boston, MA metro area",January 2014,365.0,-1.6%,12.3%,"2,592",-32.1%,1.4%,"3,275",77.1%,-11.1%,"13,098",-0.7%,-7.2%,101,15,-13,97.8,-0.1%,0.8%,373
"Boston, MA metro area",February 2014,340.0,-6.8%,7.2%,"2,060",-20.5%,-1.8%,"3,963",21.0%,-1.3%,"14,340",9.5%,-6.7%,114,13,-12,97.7,-0.1%,0.8%,348
"Boston, MA metro area",March 2014,361.0,6.2%,11.1%,"2,774",34.7%,-2.5%,"5,921",49.4%,5.5%,"16,659",16.2%,-4.2%,95,-19,-17,98.4,0.7%,1.1%,366
"Boston, MA metro area",April 2014,367.0,1.6%,4.9%,"3,313",19.4%,-3.7%,"7,445",25.7%,-5.1%,"19,813",18.9%,-5.3%,77,-18,-8,98.9,0.5%,0.7%,371
"Boston, MA metro area",May 2014,385.0,4.9%,5.5%,"4,451",34.3%,-3.8%,"7,727",3.8%,-0.5%,"22,045",11.3%,-4.3%,73,-4,-5,99.3,0.4%,0.7%,387
"Boston, MA metro area",June 2014,412.0,7.1%,5.7%,"5,630",26.5%,0.2%,"6,680",-13.5%,8.8%,"22,172",0.6%,-2.0%,75,2,-3,99.5,0.2%,0.5%,414
"Boston, MA metro area",July 2014,405.0,-1.8%,4.9%,"5,614",-0.3%,-4.4%,"5,277",-21.0%,3.9%,"20,948",-5.5%,0.6%,75,0,-5,99.2,-0.3%,0.2%,408
"Boston, MA metro area",August 2014,400.0,-1.3%,3.9%,"5,223",-7.0%,-8.1%,"4,318",-18.2%,-9.7%,"18,906",-9.7%,-0.2%,78,3,-4,98.9,-0.3%,0.1%,404
"Boston, MA metro area",September 2014,377.0,-5.7%,1.9%,"4,085",-21.8%,-1.8%,"5,828",35.0%,-0.5%,"19,245",1.8%,-0.9%,83,5,-2,98.4,-0.6%,-0.1%,383
"Boston, MA metro area",October 2014,370.0,-1.9%,2.8%,"4,008",-1.9%,1.4%,"4,921",-15.6%,0.7%,"18,624",-3.2%,-1.0%,83,0,3,98.2,-0.2%,-0.2%,376
"Boston, MA metro area",November 2014,382.0,3.1%,5.4%,"3,416",-14.8%,-5.8%,"2,803",-43.0%,-5.5%,"16,323",-12.4%,-1.5%,78,-5,-3,98.1,0.0%,0.0%,389
"Boston, MA metro area",December 2014,390.0,2.2%,5.1%,"3,991",16.8%,4.5%,"1,895",-32.4%,2.5%,"12,572",-23.0%,-4.6%,86,8,0,98.1,-0.1%,0.2%,397
"Boston, MA metro area",January 2015,385.0,-1.3%,5.5%,"2,511",-37.1%,-3.1%,"2,951",55.7%,-9.9%,"12,074",-4.0%,-7.8%,101,15,0,98.0,-0.1%,0.3%,392
"Boston, MA metro area",February 2015,368.0,-4.4%,8.2%,"2,022",-19.5%,-1.8%,"2,426",-17.8%,-38.8%,"10,149",-15.9%,-29.2%,109,8,-5,97.8,-0.2%,0.1%,376
"Boston, MA metro area",March 2015,374.0,1.6%,3.6%,"2,602",28.7%,-6.2%,"5,542",128.4%,-6.4%,"9,223",-9.1%,-44.6%,100,-9,5,98.4,0.6%,0.1%,380
"Boston, MA metro area",April 2015,385.0,3.0%,4.9%,"3,003",15.4%,-9.4%,"8,332",50.3%,11.9%,"10,784",16.9%,-45.6%,50,-50,-27,98.9,0.4%,0.0%,389
"Boston, MA metro area",May 2015,405.0,5.2%,5.2%,"4,041",34.6%,-9.2%,"8,462",1.6%,9.5%,"12,255",13.6%,-44.4%,13,-37,-60,99.7,0.8%,0.4%,406
"Boston, MA metro area",June 2015,425.0,4.9%,3.1%,"6,229",54.1%,10.6%,"7,692",-9.1%,15.1%,"12,591",2.7%,-43.2%,10,-3,-65,100.1,0.4%,0.6%,424
"Boston, MA metro area",July 2015,425.0,0.0%,4.9%,"6,405",2.8%,14.1%,"5,852",-23.9%,10.9%,"12,327",-2.1%,-41.2%,12,2,-63,99.9,-0.1%,0.7%,425
"Boston, MA metro area",August 2015,420.0,-1.2%,5.0%,"5,807",-9.3%,11.2%,"5,117",-12.6%,18.5%,"12,004",-2.6%,-36.5%,16,4,-62,99.5,-0.4%,0.6%,422
"Boston, MA metro area",September 2015,395.0,-6.0%,4.8%,"4,712",-18.9%,15.3%,"6,498",27.0%,11.5%,"12,947",7.9%,-32.7%,20,4,-63,98.9,-0.6%,0.6%,399
"Boston, MA metro area",October 2015,390.0,-1.3%,5.4%,"4,307",-8.6%,7.5%,"5,270",-18.9%,7.1%,"12,138",-6.2%,-34.8%,22,2,-61,98.7,-0.3%,0.5%,395
"Boston, MA metro area",November 2015,400.0,2.6%,4.8%,"3,696",-14.2%,8.2%,"3,295",-37.5%,17.6%,"10,235",-15.7%,-37.3%,23,1,-55,98.7,0.0%,0.6%,405
"Boston, MA metro area",December 2015,400.0,0.0%,2.6%,"4,482",21.3%,12.3%,"2,109",-36.0%,11.3%,"8,079",-21.1%,-35.7%,28,5,-58,98.4,-0.3%,0.3%,406
"Boston, MA metro area",January 2016,395.0,-1.3%,2.6%,"3,085",-31.2%,22.9%,"3,308",56.9%,12.1%,"7,780",-3.7%,-35.6%,35,7,-66,98.1,-0.3%,0.1%,402
"Boston, MA metro area",February 2016,375.0,-5.1%,1.9%,"2,369",-23.2%,17.2%,"4,034",21.9%,66.3%,"7,718",-0.8%,-24.0%,47,12,-62,98.1,0.0%,0.3%,382
"Boston, MA metro area",March 2016,390.0,4.0%,4.3%,"3,202",35.2%,23.1%,"7,097",75.9%,28.1%,"9,134",18.3%,-1.0%,30,-17,-70,98.9,0.8%,0.4%,394
"Boston, MA metro area",April 2016,415.0,6.4%,7.8%,"3,670",14.6%,22.2%,"7,124",0.4%,-14.5%,"9,879",8.2%,-8.4%,16,-14,-34,99.5,0.6%,0.6%,417
"Boston, MA metro area",May 2016,425.0,2.4%,4.9%,"4,629",26.1%,14.6%,"7,186",0.9%,-15.1%,"10,116",2.4%,-17.5%,11,-5,-2,100.1,0.6%,0.4%,424
"Boston, MA metro area",June 2016,450.0,5.8%,5.8%,"6,471",39.8%,3.9%,"7,081",-1.5%,-7.9%,"10,576",4.5%,-16.0%,10,-1,0,100.2,0.2%,0.2%,449
"Boston, MA metro area",July 2016,445.0,-1.0%,4.7%,"5,470",-15.5%,-14.6%,"5,204",-26.5%,-11.1%,"10,372",-1.9%,-15.9%,11,1,-1,100.2,-0.1%,0.2%,444
"Boston, MA metro area",August 2016,439.0,-1.4%,4.5%,"5,976",9.3%,2.9%,"4,837",-7.1%,-5.5%,"9,823",-5.3%,-18.2%,14,3,-2,99.9,-0.3%,0.4%,439
"Boston, MA metro area",September 2016,419.0,-4.5%,6.1%,"4,704",-21.3%,-0.2%,"6,298",30.2%,-3.1%,"10,832",10.3%,-16.3%,17,3,-3,99.4,-0.5%,0.5%,421
"Boston, MA metro area",October 2016,415.0,-1.0%,6.4%,"4,096",-12.9%,-4.9%,"4,643",-26.3%,-11.9%,"9,966",-8.0%,-17.9%,19,2,-3,99.2,-0.2%,0.6%,418
"Boston, MA metro area",November 2016,428.0,3.1%,7.0%,"4,377",6.9%,18.4%,"3,312",-28.7%,0.5%,"8,308",-16.6%,-18.8%,18,-1,-5,99.4,0.1%,0.7%,430
"Boston, MA metro area",December 2016,420.0,-1.9%,5.0%,"4,371",-0.1%,-2.5%,"1,871",-43.5%,-11.3%,"6,518",-21.5%,-19.3%,23,5,-5,98.9,-0.4%,0.5%,424
"Boston, MA metro area",January 2017,422.0,0.5%,6.8%,"3,203",-26.7%,3.8%,"3,464",85.1%,4.7%,"6,348",-2.6%,-18.4%,30,7,-5,98.7,-0.3%,0.6%,427
"Boston, MA metro area",February 2017,400.0,-5.2%,6.7%,"2,228",-30.4%,-6.0%,"3,718",7.3%,-7.8%,"6,461",1.8%,-16.3%,35,5,-12,98.9,0.2%,0.8%,404
"Boston, MA metro area",March 2017,430.0,7.6%,10.3%,"3,462",55.4%,8.1%,"6,365",71.2%,-10.3%,"7,322",13.3%,-19.8%,21,-14,-9,99.6,0.7%,0.8%,431
"Boston, MA metro area",April 2017,446.0,3.6%,7.4%,"3,280",-5.3%,-10.6%,"6,479",1.8%,-9.1%,"8,237",12.5%,-16.6%,12,-9,-4,100.3,0.7%,0.8%,444
"Boston, MA metro area",May 2017,455.0,2.1%,7.1%,"4,700",43.3%,1.5%,"7,654",18.1%,6.5%,"8,932",8.4%,-11.7%,10,-2,-1,100.9,0.6%,0.9%,450
"Boston, MA metro area",June 2017,475.0,4.4%,5.7%,"6,503",38.4%,0.5%,"6,861",-10.4%,-3.1%,"9,041",1.2%,-14.5%,9,-1,-1,101.2,0.2%,0.9%,469
"Boston, MA metro area",July 2017,475.0,0.0%,6.7%,"5,486",-15.6%,0.3%,"5,130",-25.2%,-1.4%,"8,875",-1.8%,-14.4%,10,1,-1,101.0,-0.1%,0.9%,470
"Boston, MA metro area",August 2017,465.0,-2.1%,5.9%,"5,880",7.2%,-1.6%,"4,950",-3.5%,2.3%,"8,493",-4.3%,-13.5%,13,3,-1,100.4,-0.6%,0.6%,463
"Boston, MA metro area",September 2017,450.0,-3.2%,7.4%,"4,475",-23.9%,-4.9%,"6,291",27.1%,-0.1%,"9,444",11.2%,-12.8%,15,2,-2,100.0,-0.4%,0.6%,450
"Boston, MA metro area",October 2017,447.0,-0.7%,7.7%,"4,382",-2.1%,7.0%,"4,825",-23.3%,3.9%,"8,708",-7.8%,-12.6%,14,-1,-5,100.0,-0.1%,0.7%,447
"Boston, MA metro area",November 2017,455.0,1.8%,6.3%,"4,554",3.9%,4.0%,"3,612",-25.1%,9.1%,"7,481",-14.1%,-10.0%,15,1,-3,99.8,-0.2%,0.4%,455
"Boston, MA metro area",December 2017,455.0,0.0%,8.3%,"4,001",-12.1%,-8.5%,"1,734",-52.0%,-7.3%,"5,531",-26.1%,-15.1%,21,6,-2,99.4,-0.3%,0.5%,457
"Boston, MA metro area",January 2018,455.0,0.0%,7.8%,"3,057",-23.6%,-4.6%,"3,006",73.4%,-13.2%,"5,252",-5.0%,-17.3%,25,4,-5,99.1,-0.3%,0.5%,459
"Boston, MA metro area",February 2018,440.0,-3.3%,10.0%,"2,168",-29.1%,-2.7%,"4,189",39.4%,12.7%,"5,694",8.4%,-11.9%,29,4,-6,99.4,0.2%,0.5%,442
"Boston, MA metro area",March 2018,465.0,5.7%,8.1%,"3,197",47.5%,-7.7%,"5,308",26.7%,-16.6%,"5,917",3.9%,-19.2%,17,-12,-4,100.1,0.7%,0.4%,464
"Boston, MA metro area",April 2018,484.0,4.1%,8.6%,"3,631",13.6%,10.7%,"7,385",39.1%,14.0%,"7,616",28.7%,-7.5%,10,-7,-2,101.0,0.9%,0.7%,479
"Boston, MA metro area",May 2018,495.0,2.3%,8.8%,"4,652",28.1%,-1.0%,"8,399",13.7%,9.7%,"9,127",19.8%,2.2%,9,-1,-1,101.3,0.3%,0.4%,488
"Boston, MA metro area",June 2018,514.0,3.7%,8.1%,"6,341",36.3%,-2.5%,"6,921",-17.6%,0.9%,"9,397",3.0%,3.9%,9,0,0,101.3,-0.1%,0.1%,507
"Boston, MA metro area",July 2018,515.0,0.3%,8.4%,"5,848",-7.8%,6.6%,"5,293",-23.5%,3.2%,"9,056",-3.6%,2.0%,9,0,-1,101.1,-0.1%,0.1%,509
"Boston, MA metro area",August 2018,500.0,-2.9%,7.5%,"6,104",4.4%,3.8%,"5,044",-4.7%,1.9%,"8,964",-1.0%,5.5%,13,4,0,100.3,-0.9%,-0.2%,498
"Boston, MA metro area",September 2018,470.0,-6.0%,4.5%,"4,024",-34.1%,-10.1%,"6,543",29.7%,4.0%,"10,610",18.4%,12.3%,17,4,2,99.8,-0.5%,-0.3%,470
"Boston, MA metro area",October 2018,470.0,0.0%,5.2%,"4,337",7.8%,-1.0%,"5,619",-14.1%,16.5%,"10,600",-0.1%,21.7%,16,-1,2,99.7,-0.1%,-0.3%,471
"Boston, MA metro area",November 2018,475.0,1.1%,4.4%,"4,523",4.3%,-0.7%,"3,502",-37.7%,-3.0%,"9,098",-14.2%,21.6%,17,1,2,99.4,-0.3%,-0.4%,477
"Boston, MA metro area",December 2018,458.0,-3.6%,0.6%,"3,768",-16.7%,-5.8%,"1,686",-51.9%,-2.8%,"6,994",-23.1%,26.5%,24,7,3,98.9,-0.5%,-0.6%,463
"Boston, MA metro area",January 2019,475.0,3.8%,4.4%,"2,779",-26.2%,-9.1%,"3,825",126.9%,27.2%,"6,997",0.0%,33.2%,34,10,9,98.6,-0.3%,-0.6%,481
"Boston, MA metro area",February 2019,454.0,-4.3%,3.3%,"2,486",-10.5%,14.7%,"3,983",4.1%,-4.9%,"7,164",2.4%,25.8%,39,5,10,98.4,-0.1%,-0.9%,461
"Boston, MA metro area",March 2019,475.0,4.5%,2.2%,"3,317",33.4%,3.8%,"5,998",50.6%,13.0%,"7,828",9.3%,32.3%,23,-16,6,99.3,0.9%,-0.7%,478
"Boston, MA metro area",April 2019,485.0,2.1%,0.2%,"3,799",14.5%,4.6%,"7,141",19.1%,-3.3%,"8,864",13.2%,16.4%,14,-9,4,99.8,0.4%,-1.2%,485
"Boston, MA metro area",May 2019,520.0,7.2%,5.1%,"5,018",32.1%,7.9%,"8,370",17.2%,-0.3%,"10,463",18.0%,14.6%,11,-3,2,100.3,0.5%,-1.1%,518
"Boston, MA metro area",June 2019,529.0,1.7%,3.0%,"5,746",14.5%,-9.4%,"6,628",-20.8%,-4.2%,"12,184",16.4%,29.7%,10,-1,1,100.4,0.1%,-0.9%,526
"Boston, MA metro area",July 2019,530.0,0.2%,2.9%,"5,760",0.2%,-1.5%,"5,011",-24.4%,-5.3%,"11,230",-7.8%,24.0%,15,5,6,100.2,-0.2%,-0.9%,528
"Boston, MA metro area",August 2019,515.0,-2.8%,3.0%,"5,759",0.0%,-5.7%,"4,463",-10.9%,-11.5%,"10,308",-8.2%,15.0%,23,8,10,99.8,-0.4%,-0.5%,516
"Boston, MA metro area",September 2019,490.0,-4.9%,4.3%,"4,199",-27.1%,4.3%,"6,552",46.8%,0.1%,"11,813",14.6%,11.3%,27,4,10,99.5,-0.3%,-0.3%,492
"Boston, MA metro area",October 2019,485.0,-1.0%,3.2%,"4,327",3.0%,-0.2%,"5,345",-18.4%,-4.9%,"11,126",-5.8%,5.0%,27,0,11,99.4,-0.1%,-0.3%,487
"Boston, MA metro area",November 2019,491.0,1.3%,3.4%,"4,116",-4.9%,-9.0%,"2,914",-45.5%,-16.8%,"8,711",-21.7%,-4.3%,27,0,10,99.4,0.0%,0.0%,493
"Boston, MA metro area",December 2019,500.0,1.8%,9.2%,"4,431",7.7%,17.6%,"1,607",-44.9%,-4.7%,"6,143",-29.5%,-12.2%,34,7,10,99.0,-0.4%,0.1%,505
"Boston, MA metro area",January 2020,505.0,1.0%,6.3%,"3,059",-31.0%,10.1%,"3,336",107.6%,-12.8%,"6,344",3.3%,-9.3%,42,8,8,98.6,-0.4%,0.1%,512
"Boston, MA metro area",February 2020,498.0,-1.4%,9.5%,"2,427",-20.7%,-2.4%,"4,518",35.4%,13.4%,"7,123",12.3%,-0.6%,48,6,9,98.9,0.3%,0.5%,503
"Boston, MA metro area",March 2020,520.0,4.5%,9.5%,"3,243",33.6%,-2.2%,"5,261",16.4%,-12.3%,"7,371",3.5%,-5.8%,25,-23,2,100.0,1.1%,0.7%,520
"Boston, MA metro area",April 2020,538.0,3.5%,11.0%,"3,204",-1.2%,-15.7%,"3,291",-37.4%,-53.9%,"7,535",2.2%,-15.0%,20,-5,6,100.5,0.4%,0.7%,535
"Boston, MA metro area",May 2020,530.0,-1.6%,1.9%,"3,096",-3.4%,-38.3%,"5,578",69.5%,-33.4%,"8,591",14.0%,-17.9%,21,1,10,99.8,-0.7%,-0.5%,531
"Boston, MA metro area",June 2020,540.0,1.9%,2.1%,"4,133",33.5%,-28.1%,"6,875",23.3%,3.7%,"8,996",4.7%,-26.2%,22,1,12,99.9,0.1%,-0.4%,540
"Boston, MA metro area",July 2020,555.0,2.7%,4.7%,"5,507",33.2%,-4.4%,"6,427",-6.5%,28.3%,"8,961",-0.4%,-20.2%,20,-2,5,100.6,0.7%,0.4%,551
"Boston, MA metro area",August 2020,569.0,2.6%,10.5%,"5,566",1.1%,-3.4%,"5,784",-10.0%,29.6%,"8,463",-5.6%,-17.9%,21,1,-2,100.8,0.3%,1.1%,564
"Boston, MA metro area",September 2020,560.0,-1.6%,14.3%,"5,238",-5.9%,24.7%,"6,891",19.1%,5.2%,"9,434",11.5%,-20.1%,20,-1,-7,101.1,0.2%,1.6%,553
"Boston, MA metro area",October 2020,550.0,-1.8%,13.4%,"5,265",0.5%,21.7%,"6,233",-9.5%,16.6%,"9,308",-1.3%,-16.3%,20,0,-7,101.2,0.2%,1.8%,543
"Boston, MA metro area",November 2020,550.0,0.0%,11.9%,"4,667",-11.4%,13.4%,"3,625",-41.8%,24.4%,"7,380",-20.7%,-15.3%,21,1,-6,101.4,0.2%,2.0%,542
"Boston, MA metro area",December 2020,550.0,0.0%,10.0%,"5,292",13.4%,19.4%,"2,253",-37.8%,40.2%,"5,055",-31.5%,-17.7%,22,1,-12,100.8,-0.6%,1.8%,545
"Boston, MA metro area",January 2021,557.0,1.3%,10.3%,"3,396",-35.8%,11.0%,"3,355",48.9%,0.6%,"5,187",2.6%,-18.2%,24,2,-18,100.5,-0.3%,1.8%,554
"Boston, MA metro area",February 2021,550.0,-1.3%,10.5%,"2,581",-24.0%,6.3%,"3,831",14.2%,-15.2%,"5,094",-1.8%,-28.5%,27,3,-21,100.4,0.0%,1.5%,547
"Boston, MA metro area",March 2021,577.0,4.8%,10.9%,"3,662",41.9%,12.9%,"6,202",61.9%,17.9%,"5,640",10.7%,-23.5%,20,-7,-5,102.1,1.7%,2.1%,565
"Boston, MA metro area",April 2021,601.0,4.2%,11.6%,"4,295",17.3%,34.1%,"6,970",12.4%,111.8%,"6,522",15.6%,-13.4%,19,-1,-1,103.2,1.0%,2.7%,582
"Boston, MA metro area",May 2021,620.0,3.2%,17.0%,"4,885",13.7%,57.8%,"6,126",-12.1%,9.8%,"6,151",-5.7%,-28.4%,18,-1,-3,104.2,1.0%,4.4%,595
"Boston, MA metro area",June 2021,650.0,4.8%,20.4%,"6,431",31.6%,55.6%,"7,520",22.8%,9.4%,"7,029",14.3%,-21.9%,17,-1,-5,105.1,0.9%,5.2%,618
"Boston, MA metro area",July 2021,635.0,-2.3%,14.5%,"5,896",-8.3%,7.1%,"5,620",-25.3%,-12.6%,"7,126",1.4%,-20.5%,18,1,-2,104.5,-0.6%,3.9%,607
"Boston, MA metro area",August 2021,625.0,-1.6%,9.8%,"5,697",-3.4%,2.4%,"4,991",-11.2%,-13.7%,"6,551",-8.1%,-22.6%,19,1,-2,103.6,-0.9%,2.7%,603
"Boston, MA metro area",September 2021,605.0,-3.2%,8.0%,"5,129",-10.0%,-2.1%,"6,603",32.3%,-4.2%,"7,888",20.4%,-16.4%,20,1,0,102.8,-0.7%,1.8%,588
"Boston, MA metro area",October 2021,600.0,-0.8%,9.1%,"4,450",-13.2%,-15.5%,"4,764",-27.9%,-23.6%,"6,852",-13.1%,-26.4%,20,0,0,102.3,-0.5%,1.1%,586
"Boston, MA metro area",November 2021,610.0,1.7%,10.9%,"4,768",7.1%,2.2%,"3,454",-27.5%,-4.7%,"5,104",-25.5%,-30.8%,20,0,-1,102.2,-0.1%,0.8%,596
"Boston, MA metro area",December 2021,620.0,1.6%,12.7%,"4,903",2.8%,-7.4%,"1,868",-45.9%,-17.1%,"3,209",-37.1%,-36.5%,21,1,-1,102.0,-0.2%,1.2%,607
"Boston, MA metro area",January 2022,595.0,-4.0%,6.8%,"3,073",-37.3%,-9.5%,"2,768",48.2%,-17.5%,"3,336",4.0%,-35.7%,22,1,-2,101.6,-0.4%,1.1%,585
"Boston, MA metro area",February 2022,595.0,0.0%,8.2%,"2,215",-27.9%,-14.2%,"3,486",25.9%,-9.0%,"3,562",6.8%,-30.1%,22,0,-5,102.4,0.8%,2.0%,581
"Boston, MA metro area",March 2022,637.0,7.1%,10.5%,"3,232",45.9%,-11.7%,"5,954",70.8%,-4.0%,"4,852",36.2%,-14.0%,19,-3,-1,104.3,1.9%,2.2%,610
"Boston, MA metro area",April 2022,675.0,6.0%,12.3%,"3,613",11.8%,-15.9%,"5,930",-0.4%,-14.9%,"5,595",15.3%,-14.2%,17,-2,-2,105.6,1.3%,2.4%,639
"Boston, MA metro area",May 2022,690.0,2.2%,11.3%,"4,526",25.3%,-7.3%,"6,348",7.0%,3.6%,"5,995",7.1%,-2.5%,16,-1,-2,106.3,0.7%,2.1%,649
"Boston, MA metro area",June 2022,705.0,2.2%,8.5%,"5,713",26.2%,-11.2%,"6,807",7.2%,-9.5%,"7,203",20.2%,2.5%,16,0,-1,105.9,-0.4%,0.8%,665
