TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY
Condo for sale,1395000,3,4.0,2472.0,New York County
Condo for sale,2995000,4,3.0,2135.0,New York County
Co-op for sale,650000,2,1.0,1060.0,New York County
Condo for sale,2099000,2,2.0,1447.0,Kings County
Co-op for sale,4800000,3,4.0,3475.0,New York County
Co-op for sale,299000,1,1.0,850.0,Queens County
Co-op for sale,449000,1,2.0,1213.0,Queens County
Condo for sale,1250000,3,2.0,1287.0,Kings County
Co-op for sale,499000,2,1.0,900.0,Kings County
Condo for sale,625000,4,2.0,1268.0,Kings County
Condo for sale,625000,4,2.0,1268.0,Kings County
Co-op for sale,5495000,3,2.0,3000.0,New York County
Co-op for sale,525000,3,1.0,322.0,New York County
Co-op for sale,279000,1,1.0,600.0,Kings County
Condo for sale,560000,3,1.0,622.0,Kings County
Condo for sale,735000,2,2.0,832.0,Kings County
Condo for sale,1700000,2,2.0,1135.0,New York County
Co-op for sale,295000,2,1.0,613.0,New York County
Co-op for sale,625000,1,1.0,650.0,New York County
Condo for sale,5700000,3,4.0,2357.0,New York County
Co-op for sale,149999,1,1.0,694.0,Bronx County
Condo for sale,650000,3,1.0,550.0,New York County
Co-op for sale,399000,2,1.0,1090.0,Queens County
Co-op for sale,299000,3,1.0,394.0,New York County
Condo for sale,239500,1,1.0,864.0,Richmond County
Condo for sale,990000,1,1.0,791.0,New York County
Condo for sale,990000,1,1.0,791.0,New York County
Condo for sale,2300000,1,2.0,1100.0,New York County
Condo for sale,350000,1,1.0,738.0,Richmond County
Condo for sale,8495000,3,4.0,4781.0,New York County
Condo for sale,1895000,3,2.0,1929.0,New York County
Co-op for sale,189900,1,1.0,600.0,Kings County
Condo for sale,2195000,3,2.0,1708.0,New York County
Co-op for sale,229000,1,1.0,650.0,Kings County
Condo for sale,5495000,5,4.0,4014.0,New York County
Condo for sale,499000,2,1.0,825.0,Kings County
Condo for sale,450000,2,1.0,1249.0,Queens County
Condo for sale,539000,2,2.0,821.0,Kings County
Co-op for sale,99000,1,1.0,859.0,Bronx County
Co-op for sale,995000,3,2.0,1300.0,New York County
Condo for sale,2550000,3,2.0,2400.0,Kings County
Co-op for sale,370000,2,1.0,800.0,Kings County
Co-op for sale,289000,1,1.0,520.0,Kings County
Condo for sale,340000,1,1.0,850.0,Kings County
Condo for sale,15500000,5,5.0,4193.0,New York County
Co-op for sale,199999,1,1.0,550.0,Kings County
Co-op for sale,799000,2,2.0,1043.0,Kings County
Condo for sale,8950000,2,2.0,2270.0,New York County
Condo for sale,1295000,2,2.0,1160.0,New York County
Co-op for sale,599000,1,1.0,800.0,New York County
Condo for sale,593000,2,2.0,1312.0,Richmond County
Condo for sale,540000,3,1.0,509.0,New York County
Co-op for sale,299000,1,1.0,800.0,Queens County
Condo for sale,579000,2,2.0,750.0,Queens County
Condo for sale,1995000,2,3.0,1838.0,New York County
Co-op for sale,564900,1,1.0,769.0,Kings County
Co-op for sale,279999,2,1.0,666.0,Kings County
Condo for sale,520000,2,1.0,741.0,New York County
Co-op for sale,258000,1,1.0,650.0,Kings County
Condo for sale,700000,2,2.0,1124.0,Queens County
Condo for sale,500000,1,1.0,720.0,New York County
Co-op for sale,375000,1,1.0,1185.0,Richmond County
Multi-family home for sale,2700000,24,24.0,18936.0,Kings County
Co-op for sale,285000,1,1.0,900.0,Kings County
Condo for sale,674999,3,1.0,1299.0,Richmond County
Condo for sale,995000,2,2.0,1030.0,Kings County
Co-op for sale,239000,1,1.0,800.0,Bronx County
Condo for sale,700000,1,2.0,900.0,New York County
Condo for sale,450000,3,1.0,494.0,Kings County
Condo for sale,3890000,3,4.0,2446.0,New York County
Co-op for sale,779000,1,1.0,800.0,New York County
Condo for sale,499000,1,1.0,845.0,Kings County
Condo for sale,420000,2,1.0,840.0,Richmond County
Condo for sale,1750000,3,2.0,1494.0,New York County
Co-op for sale,268000,1,1.0,850.0,Queens County
Condo for sale,4295000,3,2.0,2615.0,New York County
Co-op for sale,213000,3,1.0,430.0,Kings County
Co-op for sale,649000,2,2.0,1500.0,Queens County
Co-op for sale,439000,2,1.0,900.0,Queens County
Co-op for sale,1150000,1,1.0,984.0,Kings County
Co-op for sale,318888,1,1.0,875.0,Queens County
Co-op for sale,799000,2,2.0,1549.0,Queens County
Co-op for sale,489000,2,1.0,950.0,Kings County
Co-op for sale,398000,2,1.0,900.0,Kings County
Condo for sale,899999,3,3.0,1750.0,Queens County
Condo for sale,899999,3,3.0,1750.0,Queens County
Condo for sale,1325000,3,2.0,1597.0,Kings County
Townhouse for sale,595000,1,2.0,846.0,Kings County
Condo for sale,330000,1,1.0,726.0,Richmond County
Co-op for sale,345000,2,1.0,1000.0,Bronx County
Condo for sale,999000,2,2.0,1187.0,Queens County
Co-op for sale,135000,2,1.0,750.0,Bronx County
Condo for sale,261250,2,1.0,857.0,Bronx County
Condo for sale,728000,3,2.0,1450.0,Queens County
Condo for sale,1950000,3,3.0,1300.0,New York County
Co-op for sale,600000,2,2.0,900.0,New York County
Condo for sale,569000,1,1.0,739.0,Kings County
Co-op for sale,300000,3,1.0,600.0,Kings County
Co-op for sale,825000,1,2.0,1100.0,New York County
Condo for sale,4750000,4,4.0,4100.0,New York County
Condo for sale,3995000,3,3.0,1637.0,New York County
Co-op for sale,959000,3,4.0,1993.0,Queens County
Condo for sale,744000,2,1.0,890.0,Queens County
Condo for sale,4595000,4,4.0,3052.0,New York County
Co-op for sale,189000,2,1.0,800.0,Bronx County
Co-op for sale,395250,1,1.0,650.0,Queens County
Condo for sale,1450000,3,3.0,1855.0,Queens County
Condo for sale,6500000,2,2.0,1639.0,New York County
Co-op for sale,297000,1,1.0,800.0,Queens County
Co-op for sale,244900,1,1.0,518.0,Queens County
Co-op for sale,750000,2,2.0,1193.0,Bronx County
Condo for sale,2249000,2,3.0,2321.0,New York County
Co-op for sale,270000,2,1.0,700.0,Queens County
Condo for sale,628000,3,2.0,900.0,Queens County
Condo for sale,285000,2,1.0,835.0,Bronx County
Condo for sale,595000,3,1.0,915.0,Kings County
Condo for sale,899000,2,2.0,1697.0,Richmond County
Co-op for sale,359000,2,1.0,950.0,Queens County
Condo for sale,525000,3,2.0,1185.0,Bronx County
Co-op for sale,250000,1,1.0,800.0,Kings County
Co-op for sale,350000,3,2.0,1100.0,Kings County
Condo for sale,2200000,2,2.0,1308.0,New York County
Condo for sale,1949000,2,2.0,1288.0,New York County
Co-op for sale,329000,1,1.0,764.0,Kings County
Condo for sale,1999999,3,3.0,1800.0,Kings County
Co-op for sale,379000,2,1.0,900.0,Queens County
Co-op for sale,1030000,2,2.0,1077.0,New York County
Condo for sale,1750000,1,1.0,937.0,New York County
Co-op for sale,389000,1,1.0,900.0,Queens County
Co-op for sale,269000,1,1.0,625.0,Kings County
Co-op for sale,239000,1,1.0,700.0,Kings County
Condo for sale,1000000,1,1.0,773.0,New York County
Condo for sale,555000,1,1.0,649.0,Queens County
Co-op for sale,749900,3,1.0,830.0,New York County
Condo for sale,948888,2,2.0,950.0,Kings County
Condo for sale,2595000,3,3.0,1449.0,New York County
Condo for sale,750000,1,1.0,654.0,Kings County
Condo for sale,5925000,3,4.0,2539.0,Kings County
Condo for sale,5925000,3,4.0,2539.0,Kings County
Co-op for sale,199000,3,1.0,650.0,Kings County
Co-op for sale,2425000,2,2.0,1300.0,New York County
Condo for sale,599000,2,2.0,705.0,Queens County
Condo for sale,729000,2,2.0,950.0,Queens County
Co-op for sale,397000,2,1.0,1000.0,Queens County
Condo for sale,3995000,4,3.0,2578.0,New York County
Condo for sale,1999999,4,3.0,2729.0,New York County
Condo for sale,699000,2,2.0,1030.0,Queens County
Co-op for sale,265000,3,1.0,650.0,Kings County
Condo for sale,1086300,2,1.0,780.0,New York County
Co-op for sale,169900,2,1.0,900.0,Bronx County
Co-op for sale,385000,2,1.0,920.0,Queens County
Co-op for sale,250000,1,1.0,750.0,Kings County
Condo for sale,485000,1,1.0,575.0,Queens County
Co-op for sale,230000,2,1.0,800.0,Bronx County
Condo for sale,465000,2,2.0,708.0,Queens County
Co-op for sale,278000,1,1.0,750.0,Queens County
Co-op for sale,4500000,2,2.0,1800.0,New York County
Co-op for sale,449000,2,2.0,1200.0,Queens County
Condo for sale,1899000,3,2.0,1900.0,Kings County
Condo for sale,548000,1,1.0,950.0,Queens County
Co-op for sale,449000,2,1.0,764.0,Queens County
Co-op for sale,300000,2,1.0,800.0,Kings County
Condo for sale,5000000,2,2.0,1780.0,New York County
Condo for sale,425000,1,1.0,603.0,Kings County
Co-op for sale,268000,1,1.0,660.0,Queens County
Condo for sale,660000,2,2.0,970.0,Queens County
Condo for sale,1175000,2,2.0,1072.0,New York County
Co-op for sale,349000,1,1.0,652.0,Kings County
Condo for sale,425000,1,1.0,603.0,Kings County
Co-op for sale,519000,2,2.0,1079.0,Queens County
Co-op for sale,199000,1,1.0,600.0,Queens County
Co-op for sale,550000,2,2.0,1012.0,New York County
Condo for sale,1465000,2,1.0,1107.0,Kings County
Condo for sale,269000,3,1.0,485.0,Kings County
Co-op for sale,1150000,2,1.0,900.0,Kings County
Condo for sale,799000,5,2.0,1500.0,Kings County
Condo for sale,2110000,2,2.0,1326.0,New York County
Co-op for sale,385000,1,1.0,779.0,Kings County
Condo for sale,539000,2,1.0,708.0,Kings County
Co-op for sale,5900000,3,4.0,3000.0,New York County
Condo for sale,2700000,3,3.0,1689.0,New York County
Condo for sale,898000,1,2.0,1340.0,Kings County
Co-op for sale,2100000,3,3.0,1968.0,New York County
Condo for sale,2300000,2,2.0,1163.0,New York County
Condo for sale,594900,2,1.0,729.0,Kings County
Condo for sale,639000,2,2.0,800.0,Queens County
Condo for sale,349000,3,1.0,500.0,Queens County
Condo for sale,560000,2,2.0,1008.0,Richmond County
Condo for sale,699900,3,1.0,558.0,New York County
Condo for sale,1650000,3,2.0,1493.0,New York County
Condo for sale,1249000,2,2.0,2158.0,Kings County
Condo for sale,699900,3,1.0,558.0,New York County
Co-op for sale,600000,3,2.0,1000.0,New York County
Condo for sale,2255000,2,2.0,1450.0,New York County
Co-op for sale,259900,2,1.0,850.0,Bronx County
Co-op for sale,399000,1,1.0,750.0,Kings County
Condo for sale,4750000,3,2.0,2060.0,New York County
Condo for sale,550000,1,1.0,721.0,Queens County
Condo for sale,888000,2,2.0,1146.0,Kings County
Co-op for sale,185000,3,1.0,500.0,Bronx County
Co-op for sale,575000,1,1.0,850.0,New York County
Condo for sale,10800000,5,6.0,4544.0,Kings County
Co-op for sale,239000,1,1.0,750.0,Bronx County
Condo for sale,599999,2,1.0,932.0,Kings County
Condo for sale,699000,3,2.0,1290.0,Queens County
Condo for sale,590000,3,1.0,579.0,New York County
Condo for sale,838000,3,2.0,706.0,New York County
Condo for sale,1345000,1,2.0,752.0,New York County
Co-op for sale,339000,1,1.0,910.0,Queens County
Condo for sale,995000,3,2.0,1175.0,New York County
Condo for sale,330000,3,2.0,1067.0,Bronx County
Co-op for sale,288000,1,1.0,800.0,Kings County
Co-op for sale,2399000,2,2.0,2391.0,New York County
Co-op for sale,380000,2,1.0,850.0,Kings County
Condo for sale,665000,2,1.0,1120.0,Queens County
Condo for sale,899000,1,2.0,1151.0,Kings County
Condo for sale,1385000,1,2.0,875.0,New York County
Condo for sale,1385000,1,2.0,875.0,New York County
Condo for sale,625000,3,1.0,458.0,Kings County
Co-op for sale,419000,2,1.0,1000.0,Kings County
Co-op for sale,448000,1,1.0,750.0,Kings County
Condo for sale,299000,1,1.0,671.0,Bronx County
Condo for sale,15250000,4,5.0,4264.0,New York County
Co-op for sale,420000,3,2.0,1200.0,Queens County
Condo for sale,975000,2,1.0,1164.0,New York County
Co-op for sale,450500,2,1.0,1200.0,Queens County
Condo for sale,469000,2,1.0,780.0,Queens County
Condo for sale,285000,1,1.0,613.0,Richmond County
Condo for sale,489000,2,2.0,1100.0,Kings County
Co-op for sale,180000,3,1.0,500.0,Queens County
Condo for sale,9995000,4,4.0,2918.0,New York County
Co-op for sale,5400000,4,2.0,3800.0,New York County
Co-op for sale,3395000,2,2.0,1525.0,New York County
Condo for sale,1050000,4,2.0,2800.0,Kings County
Condo for sale,698000,1,1.0,721.0,New York County
Condo for sale,558000,2,1.0,747.0,Queens County
Condo for sale,1900000,2,2.0,1035.0,New York County
Condo for sale,2150000,3,3.0,1315.0,New York County
Co-op for sale,329000,1,1.0,850.0,Kings County
Co-op for sale,275000,1,1.0,650.0,New York County
Co-op for sale,438000,1,1.0,900.0,Queens County
Co-op for sale,2150000,3,2.0,2300.0,New York County
Co-op for sale,499000,3,2.0,1266.0,Queens County
Co-op for sale,460000,1,1.0,950.0,Kings County
Condo for sale,845000,1,1.0,692.0,New York County
Co-op for sale,565000,4,1.0,1024.0,New York County
Co-op for sale,248000,1,1.0,800.0,Queens County
Condo for sale,4995000,3,4.0,3750.0,New York County
Condo for sale,3200000,3,3.0,1820.0,Kings County
Condo for sale,1599000,2,2.0,1400.0,New York County
Condo for sale,249999,1,1.0,596.0,Richmond County
Co-op for sale,219000,1,1.0,780.0,Queens County
Co-op for sale,449000,1,2.0,1130.0,Queens County
Condo for sale,879000,2,2.0,1278.0,New York County
Co-op for sale,650000,1,1.0,800.0,New York County
Condo for sale,750000,2,2.0,732.0,Kings County
Condo for sale,780000,2,2.0,847.0,Queens County
Co-op for sale,224995,3,1.0,550.0,Queens County
Co-op for sale,239000,1,1.0,670.0,Kings County
Co-op for sale,529000,2,2.0,1200.0,Kings County
Condo for sale,995000,4,2.0,1782.0,Kings County
Condo for sale,875000,3,1.0,294.0,New York County
Condo for sale,820000,1,2.0,788.0,Kings County
Condo for sale,1475000,2,3.0,1397.0,New York County
Condo for sale,1225000,2,2.0,1050.0,New York County
Condo for sale,2999999,2,2.0,1770.0,New York County
Co-op for sale,292950,1,1.0,675.0,Queens County
Condo for sale,1540000,3,3.0,1357.0,Kings County
Co-op for sale,679000,1,1.0,700.0,New York County
Condo for sale,1475000,2,3.0,1397.0,New York County
Condo for sale,1225000,2,2.0,1050.0,New York County
Condo for sale,2999999,2,2.0,1770.0,New York County
Co-op for sale,525000,1,1.0,715.0,New York County
Co-op for sale,599000,1,1.0,600.0,New York County
Co-op for sale,1100000,2,1.0,980.0,New York County
Condo for sale,695000,2,2.0,889.0,New York County
Condo for sale,650000,1,1.0,776.0,New York County
Co-op for sale,1695000,3,3.0,1818.0,New York County
Condo for sale,4495000,3,3.0,2012.0,New York County
Co-op for sale,700000,4,1.0,1500.0,New York County
Co-op for sale,324888,1,1.0,713.0,Queens County
Co-op for sale,165000,3,1.0,400.0,Queens County
Co-op for sale,130000,3,1.0,422.0,Queens County
Condo for sale,1049000,3,1.0,897.0,Kings County
Condo for sale,9995000,3,4.0,2950.0,New York County
Co-op for sale,860000,3,2.0,1118.0,New York County
Co-op for sale,235000,1,1.0,675.0,Kings County
Condo for sale,680000,2,1.0,640.0,Kings County
Condo for sale,2175000,2,2.0,1666.0,New York County
Condo for sale,2795000,3,3.0,1689.0,New York County
Condo for sale,679000,2,2.0,879.0,Kings County
Co-op for sale,169999,1,1.0,750.0,Queens County
Co-op for sale,304900,1,1.0,850.0,Queens County
Condo for sale,600000,1,1.0,600.0,New York County
Co-op for sale,279000,2,1.0,1000.0,Kings County
Co-op for sale,1250000,1,1.0,1300.0,New York County
Co-op for sale,268000,2,1.0,950.0,Queens County
Co-op for sale,140000,3,1.0,507.0,Bronx County
Co-op for sale,293000,1,1.0,649.0,Queens County
Condo for sale,649000,1,1.0,665.0,New York County
Co-op for sale,298888,1,1.0,700.0,Queens County
Condo for sale,4145000,2,2.0,1593.0,New York County
Co-op for sale,99000,1,1.0,850.0,Bronx County
Co-op for sale,99000,1,1.0,850.0,Bronx County
Condo for sale,15500000,4,4.0,4064.0,New York County
Co-op for sale,3125000,2,2.0,1804.0,New York County
Condo for sale,570000,3,1.0,515.0,New York County
Co-op for sale,599000,3,1.0,868.0,New York County
Co-op for sale,239000,2,1.0,950.0,Kings County
Condo for sale,1950000,1,2.0,1117.0,New York County
Condo for sale,1950000,1,2.0,1117.0,New York County
Co-op for sale,349000,2,1.0,900.0,Kings County
Multi-family home for sale,1800000,11,6.0,5000.0,Queens County
Condo for sale,1450000,3,2.0,1117.0,New York County
Co-op for sale,185000,3,1.0,400.0,Queens County
Condo for sale,2000000,2,2.0,1441.0,Kings County
Condo for sale,7600000,4,4.0,3216.0,New York County
Condo for sale,575000,1,1.0,1073.0,New York County
Co-op for sale,350000,2,1.0,850.0,New York County
Condo for sale,7600000,4,4.0,3216.0,New York County
Condo for sale,695000,3,2.0,704.0,Kings County
Co-op for sale,410000,3,1.0,766.0,New York County
Co-op for sale,995000,2,1.0,1000.0,New York County
Co-op for sale,535000,2,1.0,1000.0,Queens County
Co-op for sale,429000,1,1.0,575.0,Kings County
Co-op for sale,235000,1,1.0,800.0,Kings County
Condo for sale,899000,2,1.0,1010.0,Kings County
Condo for sale,900000,2,2.0,951.0,New York County
Co-op for sale,280000,1,1.0,650.0,Kings County
Condo for sale,5100000,2,2.0,1676.0,New York County
Condo for sale,8500000,3,3.0,2080.0,New York County
Condo for sale,1075000,3,4.0,2740.0,Bronx County
Condo for sale,950000,3,1.0,660.0,New York County
Co-op for sale,875000,2,2.0,1275.0,Kings County
Condo for sale,598000,1,1.0,663.0,Queens County
Co-op for sale,515000,2,2.0,1200.0,Kings County
Co-op for sale,3395000,2,2.0,1800.0,New York County
Condo for sale,6998000,4,4.0,3000.0,New York County
Co-op for sale,324900,1,1.0,665.0,New York County
Condo for sale,870000,1,1.0,620.0,New York County
Co-op for sale,355000,2,1.0,1000.0,Kings County
Co-op for sale,268800,1,1.0,725.0,Kings County
Condo for sale,640000,1,1.0,1022.0,Kings County
Condo for sale,640000,1,1.0,1022.0,Kings County
Co-op for sale,699000,2,2.0,1400.0,Queens County
Condo for sale,1025000,1,1.0,787.0,New York County
Condo for sale,2449000,3,2.0,1744.0,New York County
Condo for sale,700000,3,1.0,474.0,New York County
Co-op for sale,700000,2,1.0,900.0,New York County
Condo for sale,2350000,4,2.0,1847.0,New York County
Condo for sale,5350000,3,4.0,2491.0,New York County
Condo for sale,628000,3,2.0,1097.0,Kings County
Co-op for sale,800000,2,1.0,900.0,New York County
Co-op for sale,416000,3,1.0,950.0,Queens County
Co-op for sale,499000,1,1.0,800.0,Kings County
Co-op for sale,140000,3,1.0,507.0,Bronx County
Condo for sale,2400000,2,2.0,1375.0,New York County
Co-op for sale,5995000,3,2.0,4200.0,New York County
Co-op for sale,229000,3,1.0,500.0,Kings County
Condo for sale,3500000,3,2.0,1896.0,Kings County
Co-op for sale,419800,2,1.0,1000.0,Queens County
Condo for sale,5900000,3,3.0,2706.0,New York County
Condo for sale,1450000,2,2.0,1175.0,New York County
Co-op for sale,210000,3,1.0,550.0,Queens County
Condo for sale,2990000,3,2.0,1721.0,New York County
Condo for sale,888000,3,2.0,1700.0,Kings County
Condo for sale,1995000,1,2.0,910.0,New York County
Co-op for sale,279900,1,1.0,850.0,Bronx County
Co-op for sale,935000,2,2.0,1150.0,New York County
Co-op for sale,318000,3,1.0,450.0,New York County
Co-op for sale,315000,2,1.0,1000.0,Bronx County
Co-op for sale,279900,1,1.0,850.0,Bronx County
Co-op for sale,385000,3,1.0,440.0,New York County
Condo for sale,209000,1,1.0,650.0,Richmond County
Co-op for sale,259000,3,1.0,590.0,Queens County
Co-op for sale,499000,3,2.0,1200.0,Bronx County
Co-op for sale,359000,2,1.0,850.0,New York County
Condo for sale,771770,2,2.0,710.0,Queens County
Condo for sale,3550000,3,2.0,2693.0,New York County
Co-op for sale,4395000,6,4.0,2700.0,New York County
Condo for sale,645000,3,1.0,419.0,New York County
Condo for sale,771770,2,2.0,710.0,Queens County
Condo for sale,1250000,2,2.0,1434.0,New York County
Co-op for sale,1049000,4,3.0,2400.0,Bronx County
Co-op for sale,300000,1,1.0,800.0,Kings County
Condo for sale,1195000,1,1.0,713.0,New York County
Condo for sale,1195000,1,1.0,713.0,New York County
Co-op for sale,240000,3,1.0,500.0,Queens County
Co-op for sale,1195000,2,2.0,650.0,New York County
Co-op for sale,299000,3,1.0,650.0,Queens County
Co-op for sale,500000,3,1.0,450.0,New York County
Co-op for sale,298000,1,1.0,790.0,Kings County
Condo for sale,748000,2,2.0,713.0,Queens County
Co-op for sale,3750000,2,2.0,2300.0,New York County
Condo for sale,18950000,4,4.0,5075.0,New York County
Condo for sale,2300000,2,2.0,1035.0,New York County
Condo for sale,825000,2,2.0,1001.0,New York County
Condo for sale,6895000,2,2.0,2114.0,New York County
Co-op for sale,165000,1,1.0,750.0,Bronx County
Co-op for sale,245000,1,1.0,863.0,Bronx County
Condo for sale,565000,1,1.0,804.0,Kings County
Co-op for sale,1950000,3,2.0,1265.0,New York County
Co-op for sale,1200000,1,1.0,1120.0,New York County
Condo for sale,565000,1,1.0,804.0,Kings County
Co-op for sale,165000,1,1.0,750.0,Bronx County
Co-op for sale,399000,1,1.0,675.0,New York County
Co-op for sale,4895000,4,2.0,3594.0,New York County
Co-op for sale,11175000,4,6.0,3841.0,New York County
Co-op for sale,699000,1,1.0,700.0,New York County
Condo for sale,320000,2,1.0,802.0,Bronx County
Condo for sale,418000,1,1.0,684.0,Queens County
Co-op for sale,205900,1,1.0,750.0,Queens County
Co-op for sale,265000,1,1.0,765.0,Kings County
Co-op for sale,699000,1,1.0,700.0,New York County
Condo for sale,445000,3,1.0,402.0,Queens County
Co-op for sale,399000,2,1.0,960.0,Kings County
Co-op for sale,7500000,6,6.0,4200.0,New York County
Co-op for sale,479000,2,1.0,1100.0,Kings County
Condo for sale,5950000,2,2.0,1853.0,New York County
Condo for sale,599000,1,1.0,626.0,New York County
Condo for sale,420000,1,1.0,668.0,Kings County
Co-op for sale,2199000,2,2.0,1770.0,New York County
Co-op for sale,595000,1,1.0,700.0,New York County
Co-op for sale,249000,2,1.0,1000.0,Kings County
Co-op for sale,115000,3,1.0,550.0,Bronx County
Condo for sale,779000,1,1.0,638.0,New York County
Co-op for sale,2199000,2,2.0,1770.0,New York County
Condo for sale,7750000,5,6.0,3701.0,Kings County
Condo for sale,795000,1,1.0,860.0,New York County
Co-op for sale,275000,1,1.0,880.0,Kings County
Co-op for sale,330000,1,1.0,656.0,Queens County
Co-op for sale,975000,2,2.0,1270.0,New York County
Co-op for sale,190000,3,1.0,500.0,Queens County
Co-op for sale,405000,3,1.0,550.0,New York County
Condo for sale,359000,2,1.0,920.0,Kings County
Co-op for sale,1950000,2,2.0,960.0,New York County
Condo for sale,2950000,3,2.0,1709.0,Kings County
Condo for sale,760000,1,1.0,700.0,New York County
Condo for sale,380000,3,1.0,393.0,Kings County
Condo for sale,380000,3,1.0,393.0,Kings County
Condo for sale,649000,3,2.0,1150.0,Kings County
Condo for sale,475000,1,1.0,739.0,Kings County
Co-op for sale,3200000,3,4.0,1825.0,New York County
Co-op for sale,579000,3,2.0,1200.0,Queens County
Condo for sale,648888,2,2.0,950.0,Queens County
Co-op for sale,154900,1,1.0,700.0,Bronx County
Condo for sale,399000,1,1.0,577.0,Kings County
Condo for sale,589000,3,1.0,415.0,New York County
Condo for sale,3795000,3,3.0,2250.0,New York County
Co-op for sale,199999,3,1.0,471.0,Queens County
Co-op for sale,2500000,3,2.0,3200.0,New York County
Co-op for sale,258000,3,1.0,500.0,Queens County
Condo for sale,3250000,3,2.0,2292.0,New York County
Condo for sale,245000,1,1.0,800.0,Richmond County
Co-op for sale,729000,3,2.0,1400.0,Bronx County
Condo for sale,1090000,3,3.0,1295.0,Kings County
Co-op for sale,365000,2,1.0,925.0,Kings County
Condo for sale,1990000,2,2.0,1309.0,New York County
Co-op for sale,473000,2,1.0,1000.0,Kings County
Condo for sale,25000000,5,6.0,4089.0,New York County
Co-op for sale,133000,1,1.0,630.0,Bronx County
Condo for sale,25000000,5,6.0,4089.0,New York County
Condo for sale,4995000,3,2.0,2803.0,New York County
Co-op for sale,225000,1,1.0,900.0,Bronx County
Co-op for sale,345000,1,1.0,900.0,Queens County
Co-op for sale,649000,1,1.0,687.0,New York County
Condo for sale,659000,2,1.0,714.0,Kings County
Co-op for sale,429000,2,1.0,850.0,Kings County
Condo for sale,1795000,2,2.0,1245.0,Kings County
Co-op for sale,173000,3,1.0,500.0,Queens County
Condo for sale,1649000,1,1.0,800.0,New York County
Co-op for sale,800000,2,1.0,1200.0,Kings County
Condo for sale,1750000,2,2.0,1320.0,Kings County
Condo for sale,2750000,2,2.0,1488.0,New York County
Condo for sale,26000000,5,6.0,4859.0,New York County
Condo for sale,3999999,2,2.0,1997.0,New York County
Condo for sale,2295000,3,3.0,1615.0,New York County
Co-op for sale,243000,2,1.0,965.0,Bronx County
Condo for sale,688000,3,2.0,982.0,Kings County
Co-op for sale,249000,1,1.0,750.0,Queens County
Condo for sale,409000,1,1.0,559.0,Queens County
Condo for sale,630000,2,2.0,750.0,Queens County
Condo for sale,874000,2,2.0,915.0,Kings County
Co-op for sale,175000,1,1.0,627.0,Queens County
Condo for sale,3000000,1,2.0,1600.0,Kings County
Condo for sale,2400000,1,2.0,1427.0,New York County
Co-op for sale,299999,1,1.0,850.0,Queens County
Co-op for sale,120000,2,1.0,1100.0,Bronx County
Condo for sale,1995000,3,2.0,1376.0,New York County
Condo for sale,925000,2,2.0,1033.0,New York County
Co-op for sale,1199000,2,2.0,1000.0,New York County
Condo for sale,2850000,3,2.0,1912.0,Kings County
Co-op for sale,245000,1,1.0,550.0,Kings County
Condo for sale,695000,2,2.0,1080.0,Kings County
Co-op for sale,199000,1,1.0,550.0,Kings County
Condo for sale,815000,2,2.0,1000.0,Kings County
Condo for sale,474000,2,1.0,750.0,Kings County
Condo for sale,2350000,2,2.0,1572.0,New York County
Co-op for sale,1325000,2,2.0,1250.0,New York County
Co-op for sale,590000,2,1.0,800.0,Kings County
Condo for sale,695000,2,2.0,1080.0,Kings County
Condo for sale,610000,1,1.0,673.0,New York County
Condo for sale,1299000,1,2.0,1066.0,New York County
Condo for sale,800000,2,1.0,850.0,Kings County
Condo for sale,725000,1,1.0,696.0,Kings County
Co-op for sale,349500,1,1.0,900.0,Queens County
Condo for sale,550000,3,1.0,446.0,New York County
Co-op for sale,398000,3,1.0,1000.0,Queens County
Condo for sale,498000,1,1.0,785.0,Queens County
Co-op for sale,280000,1,1.0,850.0,Kings County
Condo for sale,1250000,1,1.0,855.0,New York County
Condo for sale,2649000,3,3.0,1699.0,New York County
Condo for sale,385000,2,1.0,919.0,Kings County
Co-op for sale,179000,1,1.0,600.0,Kings County
Condo for sale,2100000,3,3.0,1638.0,New York County
Co-op for sale,323000,1,1.0,800.0,Kings County
Co-op for sale,1296000,2,2.0,1200.0,New York County
Co-op for sale,3395000,4,3.0,3111.0,New York County
Co-op for sale,450000,2,1.0,1100.0,Kings County
Condo for sale,649000,3,2.0,1770.0,Queens County
Co-op for sale,265000,2,1.0,900.0,Kings County
Co-op for sale,398000,3,1.0,900.0,Kings County
Condo for sale,680000,2,2.0,847.0,Queens County
House for sale,7188000,3,3.0,4108.0,New York County
Condo for sale,799000,2,2.0,868.0,Queens County
Condo for sale,4250000,2,2.0,1778.0,New York County
Co-op for sale,925000,3,2.0,1700.0,New York County
Condo for sale,1695000,2,2.0,1035.0,Kings County
Condo for sale,599000,1,1.0,958.0,Queens County
Co-op for sale,1250000,2,2.0,1350.0,New York County
Co-op for sale,2395000,4,4.0,3600.0,New York County
Condo for sale,1080000,2,2.0,1545.0,Queens County
Co-op for sale,588888,3,2.0,1150.0,Queens County
Condo for sale,1199000,2,1.0,1080.0,Kings County
Condo for sale,650000,2,2.0,1013.0,Bronx County
Co-op for sale,395000,2,1.0,950.0,Bronx County
Co-op for sale,299000,1,1.0,700.0,Queens County
Condo for sale,549000,2,2.0,1113.0,Queens County
